executed_script_path,repository_snapshot_path,executed_sha256,repository_sha256,sha256_identical,generation_pass,corrected_source_script_reference,notes
03_output/reviewer_revision_animal_level_20260827/scripts/00_common.R,06_manuscript_figure_revision/00_common.R,02a8c772af8dbc4a07ddfd57f1948bbdbf675b9258592f24430323fa302fa359,02a8c772af8dbc4a07ddfd57f1948bbdbf675b9258592f24430323fa302fa359,TRUE,first_regeneration,,Shared paths and save helpers; sourced by executed first-pass scripts.
03_output/reviewer_revision_animal_level_20260827/scripts/01_panelC_and_suppB_pca.R,06_manuscript_figure_revision/01_panelC_and_suppB_pca.R,0fc2c0c251e7424d3e66048083ddca7813c70addbf0e2d80657f7408de77f806,0fc2c0c251e7424d3e66048083ddca7813c70addbf0e2d80657f7408de77f806,TRUE,first_regeneration,Figure3 C; Supplementary_proteomics B1,Explicit corrected_source_script target in the finalized figure manifest.
03_output/reviewer_revision_animal_level_20260827/scripts/02_panelD_volcano.R,06_manuscript_figure_revision/02_panelD_volcano.R,ae6afd481d1ba14857ed7cdc1b07e210494723aee9d94d54c9d9b57dac73163f,ae6afd481d1ba14857ed7cdc1b07e210494723aee9d94d54c9d9b57dac73163f,TRUE,first_regeneration,Figure3 D,Explicit corrected_source_script target in the finalized figure manifest.
03_output/reviewer_revision_animal_level_20260827/scripts/03_panelE_suppD_rank_abundance.R,06_manuscript_figure_revision/03_panelE_suppD_rank_abundance.R,99846524d46a5a847ccf6a1952e02c8223bf9960b2bdac2f478b6fea5502187a,99846524d46a5a847ccf6a1952e02c8223bf9960b2bdac2f478b6fea5502187a,TRUE,first_regeneration,Figure3 E; Supplementary_proteomics D,Explicit corrected_source_script target in the finalized figure manifest.
03_output/reviewer_revision_animal_level_20260827/scripts/04_panelF_suppF_gsea_dotplots.R,06_manuscript_figure_revision/04_panelF_suppF_gsea_dotplots.R,b9cc06274090c1af00d286432d11d724bd15765983be7fd838844bdbb87b31c2,b9cc06274090c1af00d286432d11d724bd15765983be7fd838844bdbb87b31c2,TRUE,first_regeneration,Figure3 F; Supplementary_proteomics F,Explicit corrected_source_script target in the finalized figure manifest.
03_output/reviewer_revision_animal_level_20260827/scripts/05_panelG_retirement_audit.R,06_manuscript_figure_revision/05_panelG_retirement_audit.R,760af1c482934933bfedfbf3808a8cdddfc664cf76141357749a63e1485757cf,760af1c482934933bfedfbf3808a8cdddfc664cf76141357749a63e1485757cf,TRUE,first_regeneration,,Superseded retirement audit retained as executed provenance.
03_output/reviewer_revision_animal_level_20260827/scripts/06_panelH_scatter_panelI_heatmap.R,06_manuscript_figure_revision/06_panelH_scatter_panelI_heatmap.R,bb7517dca96774d1fccbc096469f45789271566bec9b802a77a36707b6d19bad,bb7517dca96774d1fccbc096469f45789271566bec9b802a77a36707b6d19bad,TRUE,first_regeneration,,Superseded by the retained-panel final export but retained as executed provenance.
03_output/reviewer_revision_animal_level_20260827/scripts/07_suppA_suppB_qc.R,06_manuscript_figure_revision/07_suppA_suppB_qc.R,b5e6a2e50a92619804c9dd7c4ac685fb0203b69c3c00fb2c1eb4468e50e7bdc8,b5e6a2e50a92619804c9dd7c4ac685fb0203b69c3c00fb2c1eb4468e50e7bdc8,TRUE,first_regeneration,Supplementary_proteomics A/B2/B3,Explicit corrected_source_script target in the finalized figure manifest.
03_output/reviewer_revision_animal_level_20260827/scripts/08_suppC_ewce_suppE_audit.R,06_manuscript_figure_revision/08_suppC_ewce_suppE_audit.R,b9d164f2a36f4b8ee02884cf15f6a9ff73a9f6deadd2ee94b0da84d36603d893,b9d164f2a36f4b8ee02884cf15f6a9ff73a9f6deadd2ee94b0da84d36603d893,TRUE,first_regeneration,Supplementary_proteomics C,Explicit corrected_source_script target for Supp C; the Supp E blocked note was later superseded.
03_output/reviewer_revision_animal_level_20260827/scripts/09_style_match_suppC.R,06_manuscript_figure_revision/09_style_match_suppC.R,c9d61267135620e6c61da70d351c9731ee0bcfb5809723df8c9aa624cab68c9c,c9d61267135620e6c61da70d351c9731ee0bcfb5809723df8c9aa624cab68c9c,TRUE,visual_fidelity,,Style-fidelity pass retained as executed provenance.
