metadata_id	category	sample_class	sort_order	value	sdrf_value	status	applies_to	evidence_source	evidence_date	notes
dataset_scope	study_scope			Associative Memory Proteomics mouse experiment		KNOWN_VERIFIED	all 96 proteomics acquisitions	experimenter-supplied metadata	2026-09-03	The separate Sprague-Dawley rat viral-insertion experiment is outside this dataset.
organism	biological_source			Mus musculus	Mus musculus	KNOWN_VERIFIED	all 12 animals	experimenter-supplied metadata	2026-09-03	NCBI taxid 10090 is independently supported by the analysis mapping contract.
organism_part	biological_source			central medial amygdala (CeM)	NT=central amygdaloid nucleus;AC=UBERON:0002883	KNOWN_VERIFIED	all 96 proteomics samples	experimenter-supplied metadata	2026-09-03	The exact experimenter term CeM is retained here. The SDRF uses the supported parent UBERON term because no more specific CeM ontology term was established.
collection_method	biological_source			laser-capture microdissection	laser-capture microdissection	KNOWN_VERIFIED	all four sample classes	experimenter-supplied metadata	2026-09-03	Marker-defined material was collected from CeM.
sample_class_cfos	sample_class_definition	cfos	3	cFos-positive material	cFos-positive material obtained by laser-capture microdissection	KNOWN_VERIFIED	cfos samples	experimenter-supplied metadata	2026-09-03	Marker-defined LCM material; not asserted to be a discrete Cell Ontology cell type.
sample_class_mcherry	sample_class_definition	mcherry	1	mCherry-positive material	mCherry-positive material obtained by laser-capture microdissection	KNOWN_VERIFIED	mcherry samples	experimenter-supplied metadata	2026-09-03	Marker-defined LCM material; not asserted to be a discrete Cell Ontology cell type.
sample_class_neuron	sample_class_definition	neuron	4	NeuN-positive, cFos-negative, mCherry-negative cells	NeuN-positive, cFos-negative, mCherry-negative cells obtained by laser-capture microdissection	KNOWN_VERIFIED	neuron samples	experimenter-supplied metadata	2026-09-03	The marker definition supports neuronal material but not a more specific Cell Ontology term.
sample_class_neuropil	sample_class_definition	neuropil	2	areas negative for cFos, mCherry and NeuN; mixed/enriched non-nuclear neuropil compartment	marker-negative mixed/enriched non-nuclear neuropil compartment obtained by laser-capture microdissection	KNOWN_VERIFIED	neuropil samples	experimenter-supplied metadata	2026-09-03	A compartment, not a discrete cell type; do not describe it as a blank or negative control.
strain_or_breed	animal_cohort			C57BL/6J	C57BL/6J	KNOWN_VERIFIED	all 12 animals	experimenter-supplied metadata	2026-09-03	Do not substitute Sprague-Dawley; that strain belongs to an unrelated rat experiment.
animal_supplier	animal_cohort			Charles River		KNOWN_VERIFIED	all 12 animals	experimenter-supplied metadata	2026-09-03	Supplier for this mouse cohort.
animal_supplier_location	animal_cohort			Barcelona, Spain		KNOWN_VERIFIED	all 12 animals	experimenter-supplied metadata	2026-09-03	Supplier location for this mouse cohort.
cohort_sex_composition	animal_cohort			male and naturally cycling female mice; approximately balanced across experimental groups		KNOWN_VERIFIED	cohort level only	experimenter-supplied metadata	2026-09-03	This is a cohort-level fact and must not be converted into AnimalID-level assignments.
animalid_sex_assignments	animal_cohort			not available	not available	MISSING_RECOVERABLE	individual animals and samples	experimenter-supplied metadata	2026-09-03	Reliable AnimalID-level sex assignments are not currently available.
age_at_experiment_start	animal_cohort			7-10 weeks		KNOWN_VERIFIED	cohort level only	experimenter-supplied metadata	2026-09-03	Age range at the beginning of the experiment, not at tissue collection.
age_at_tissue_collection	animal_cohort			not available	not available	MISSING_RECOVERABLE	individual animals and samples	experimenter-supplied metadata	2026-09-03	Do not convert the age-at-experiment-start range into age at collection without an established timeline.
labeling_strategy	proteomics_method			label-free proteomics	label free sample	KNOWN_VERIFIED	all 96 proteomics samples	experimenter-supplied metadata	2026-09-03	Verified experimenter metadata; not inferred from the one-sample-per-run design.
reduction_reagent	proteomics_method			5 mM TCEP	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	KNOWN_VERIFIED	all 96 proteomics samples	experimenter-supplied protocol	2026-09-03	Protocol version dated 2024-11-28.
alkylation_reagent	proteomics_method			20 mM CAA	chloroacetamide	KNOWN_VERIFIED	all 96 proteomics samples	experimenter-supplied protocol	2026-09-03	CAA is preserved verbatim in the protocol; this reagent record is not evidence of search modification settings.
cleavage_agent_lys_c	proteomics_method		1	4 ng Lys-C per sample	NT=Lys-C;AC=MS:1001309	KNOWN_VERIFIED	all 96 proteomics samples	experimenter-supplied protocol	2026-09-03	37 degrees C for 2 hours.
cleavage_agent_trypsin	proteomics_method		2	6 ng trypsin per sample	NT=Trypsin;AC=MS:1001251	KNOWN_VERIFIED	all 96 proteomics samples	experimenter-supplied protocol	2026-09-03	37 degrees C overnight.
instrument_model	unresolved_deposition_metadata			not available	not available	MISSING_RECOVERABLE	all 96 acquisition runs	experimenter-supplied metadata	2026-09-03	The local run-name alias Olive and the .d format do not establish an exact instrument model.
acquisition_mode	unresolved_deposition_metadata			not available	not available	MISSING_RECOVERABLE	all 96 acquisition runs	experimenter-supplied metadata	2026-09-03	Do not infer DDA, DIA or another mode from filenames or downstream matrices.
search_modification_parameters	unresolved_deposition_metadata			not available	not available	MISSING_RECOVERABLE	all search and quantification outputs	experimenter-supplied metadata	2026-09-03	Do not infer modification parameters from CAA or TCEP use.
precursor_mass_tolerance	unresolved_deposition_metadata			not available	not available	MISSING_RECOVERABLE	all search and quantification outputs	experimenter-supplied metadata	2026-09-03	Original search configuration or run log is required.
fragment_mass_tolerance	unresolved_deposition_metadata			not available	not available	MISSING_RECOVERABLE	all search and quantification outputs	experimenter-supplied metadata	2026-09-03	Original search configuration or run log is required.
raw_acquisition_directories	raw_data_availability			96 native .d acquisition directories are externally held; filenames are known but files are not available locally		MISSING_RECOVERABLE	all 96 acquisition runs	experimenter-supplied metadata	2026-09-03	The existing sample_annotation.xlsx independently proves all 96 filenames.
excluded_rat_viral_insertion_experiment	scope_exclusion			separate Sprague-Dawley rat viral-insertion experiment		NOT_APPLICABLE	outside this proteomics dataset	experimenter-supplied metadata	2026-09-03	Must not enter the SDRF or be used to fill any mouse proteomics metadata field.
